sentiment,preprocessed_text
2,aww hope uve hada good day xxxxx
2,great day rain keep swimming instead dining
2,30 minute happy mother day alll amazing mom going bed
2,goodnight good bye hope best dream
2,hi bunny recently subcribed channel youtube great stuff kinda wanted hi
2,twitter officially best way advertise
0,unfortunately heffas decided impromptu mall trip telling
2,check google analytics googlecom safari autofill kick make laugh
2,happy mother day mom love
0,look like diamond ball
2,hmmm realizedi didnt bday cake birthdayboo hoo
2,doesnt try violently hump like female dog
2,interview 177 view 22 away 200 thanx reading ppl mattmccoy
0,ugh worried math test
0,bsg
2,planning mother day special beloved mother
2,greeting happy mother day
0,fall asleep didnt jonas brother web cast tierd
2,haha good
0,like nutella
0,dont think im time weekend
2,ill waiting hope doesnt rain
0,leg broke waiting untile
2,_cali good morning
2,awww youll fine
0,stop relying family going lunch
2,finished workout jillian michael 30day making cut program feeling great hopefully eating good
0,seriously guy wanted kick monday starwarswithaddedpants spam
0,_jean think state theyll probably touring wont dammit
2,wouldnt let vote yesterday today hope u win cause know u deserve d
0,hah yeah bad gon na lie o fun
2,pleasure anytime
0,curse firewallproxy server restriction wait home
2,good morning miamiadc weekend great monday great hope wonderful day
2,good night im going lay bed watch eraser
2,oh zombiepix dont follow anymore need cheer
0,bored home
0,oh wanted complete unfinished tweet 5 tweet cropped tweet look dorky
0,cable signal messed im missing ghostwhisperer news hurt toe cold like hot weather
2,aww tessy wan na hug
0,exam kinda near week 2 project submitted failing subject allah save
2,scary lightning thunder im glad going sleep hope im late school tomorow haha
2,nice idea mil gift crochet good idea looking online youtube video showing lefty crochet
2,good job
2,problemo family guy
0,okay lied meant time week sooo longer miss mommy
2,thanks glad like
2,lazy sunday love lazy day
2,fun tonight ill leave thisbrandi carlile dallas today sneak
0,puppy shall loose um manly part today poor guy
0,tummy ache
0,yep sleepfail 78 hour itll ddfail
0,work miserable day
0,bgt gutted finish tomorrow stavros flatley way
2,thanks
0,ahh suck
2,aaaah prez obama holding hand wifey soooo romantic white house
0,mcfonalds roulette lose forgot mygrilled snack wrap
0,noooooooo miss sooooooo gaah
2,awesome pedicure today
2,thing tomorrow morning temperature check gon na routine till swine flu dy good night
0,elena left morning month spent living itll probably 2 year till hmph
0,tired didnt home till 530 work bjs 1215
2,nice dinner
0,scene 4am
2,went bestbuy today pretty hp wanted look
0,sitting work watching clock isnt moving fast
2,happy mother day second make think way feel way feel dont know wish
2,liking fake tan orange colour
0,he got adjusting mate online shop zzzzzzzzzzzzzzz boring
0,saw postal hiring filling preapplication thingy didnt job open area
0,iva miss yoo sweet
0,chowder
0,sorry mo thought u work tomorrow casino
2,thank best tomorrow hope lovely day
0,awww hate wen family brokun humuns maybee agin wun day
2,came home ne gig fun night skankinwhat workout
0,want buy great album unfortunately dont hav enuff fund long time noisy
2,ooohhh borrow burn buddy lol
2,friend love spot want
2,haha wish bfa photography
0,cocktail night head hurt
0,need good hard workout today work feel like ive slacking good
0,bgt watch anymore
2,woah 311 good rain earlier nice
2,awww cuuuute newborn fun
0,right richard marx right waiting making feel nauseatingly sad
2,yes cold coffee yesterday sugar cream way like
2,shitload fun friend
0,tummy pain n woke stu drink middle night dont remember
2,aw youre thanks twitter loveeee appreciate drop
2,brother 3 wandering house underwear charming 2 sister female guest im sure
2,super excited
0,sorry
0,yes flash tonight ittakestimetoopenawebpage
2,_polanco hi uploaded 5 completely new chinese lesson feel free watch enjoy
2,missing morning work cause bench press jakarta goodluck diga test easy peasy hehehe
0,bgt ooooh tooo weird
2,thanks _twit01
2,167 sql query display single deal page ozbargain look like ill fun optimising bad bad drupal
0,cnt goin ur old message help
2,favorite curling iron broke
2,haha hey check love herhis tweet
0,guess ive got 20 wow impossible
0,willie pouting grandma didnt treat food
2,love jazzercise mr underwood wish chaperone
0,left flag didnt ride wanted bummer maybe time
2,happy mother day
0,apparently getting anymore sad
2,gym day hoping enjoy friday twenty
0,headache company _wantstobeakiddagain3
0,105 asugar btaste lord thatll ya fun way
2,believe ittomorrow night jay lenos episode tonight encourage watch welcome conan
2,good morning
0,finger hurt cause infected
0,dont know heck space time bgt bored
2,wellll 2 feed mainly shade loving native wildflower
2,aw wish ireland
0,ahh im confused dont wan na run away handle real relationship love anyways false hope
2,great hear u today u r best wait u cruise 3 cindy sign
2,pillow heaven
2,lol vat insider
0,right twitter silence experiment day murder inability mouth
2,hey nice pic
0,sidekick awkward flashing oh leaving mommy flower stuff
2,yes
0,luck goin forum im person earth goin
0,im goodie feel like disconnected
0,movie today
0,awww poor little girl britain got talent
2,thks 4 follow tweet returned love
2,thankyou short stack bringing second sydney im going im thankful guy good 2 ur fan
0,sadly corporate giant employer wont let site
0,went dog vet theyve stitched ear charged bleeds like waterfall everytime move d
2,happy mother day mom love
2,yes siri acquired master art christian ministrya loooooong journey completed todayso thankful
0,poor bella er second ear infection ear infected scream blood curdling
2,lovely night steveo family guy bed
0,_b bf gig portland thats driving distance come save burbank stuck atm working plan b
0,build failed right big scheme thing
2,meaning email month prereunion party coming soon wish 140 char soon
0,majorspoilerscom problem site working
2,ok cute time
2,nice ex
0,yep quarter til 4 im going try sleep headache subsiding easy teddy
2,interesting type bike 10 bike company follower download get 5 company amused keyword
0,ugh knee injury infected cut hurt like hell
0,_a_r_a wondering come didnt twitter week yeah adam withdrawal syndrome realnot nice
2,thank tiff
0,wondering y mother nature making life miserable
2,like new follower join midst zombie mayhem
2,_blogs congratulation lovely japanese child happy kodomo hi
2,backhad great mad monday meeting tomorrow
2,good cyberspace
0,ouch thats achy backso sorry didnt mean cause pain
0,lane stop trafffffffic suck wwork thanks miinnnesota road
2,tried iron book bag burnt bag iron lol buzz making fun lol
2,thanks thought unfortunatly didnt work like hoped ah painting beautiful
0,dog dug hole backyard iwas sleeping im grounded
2,nice lifelock suit brought experian basically reduce processing cost caused ppl dont want id theft
2,9 day im ready visit torchwood theyve heard
2,best wknd man levi sara love u guy
0,im torn extended warranty iphone run jailbreak ive got problem battery earpiece
2,thai food natalie love stuff make smile
0,oopstoo late popped bridge missed tv 3 blair jo
2,got follower gon na competitionhope look forward
0,_b_ shes bad wont sort lot pain
2,saw star trek hardcore fan good
0,watched devil wear prada want live new york city poor
2,u bye u love hot30
0,borred doingn check link profile
2,childrens hospital er hoping meredith broken elbowarm
2,morning finally got stream medium pc ps3 wireless router easier usb dongle ah techy simplicity
2,yah feeling better beaut day sophie razzing skateboard park 3 yr charli happy school
0,wish home bed naked
0,wearing exactly clothes wear canada beanie touque ahh brings memory miss snow
0,sus ate upset wasnt informed turn told sarms expected tell huff
0,dude butt itch scratch cause ppl r
2,lol stalker todayyou love getting creepy stalker
2,hey bet tweeps lot mother wisdom share
0,work evil doesnt let check text message
2,woo hoo happiness score 612 apparently overthetop happy considering week ive
0,youll missing everybody el east coast
2,ohh love green purple black
0,o feel like hot box matter feel like hot box ice cream isnt working n e
0,end heart broken regret didnt chance
2,like positivity change carrer crazyb dog lady isnt whens math test x
2,yeah appreciate
0,ive experienced apathy empathy customer service situation time recently
2,week class technically class exam summmmmerrrrr beginsyeahhhhhyaaaaaa
0,im sure lot studio equipment collected analog stuff bought anymore seriously condolence
2,_d im happy u n leigh thnx sharing happiness mean world love ya marta
0,hungry impressed everybody gone ruby
2,got tattoo fixed today didnt hurt thank god wait
2,yea think waited long oh thats cool signed im core class
2,mmm wasabi coated peanut burn good
0,supposeddd hang al mommy wont let dooo blah hahaha
2,happy mother day mommiies owt theaa ii think ii got thaa hang thiis thiing yay
2,making momma happy mother day card 3 love mommy
0,watched wayyyy beverly hill 90210 today proud fact tv fail
2,thanks info
2,happy birthday man ride wedding ill guy soon play july 27th
2,hey david im wondering received letter song malaysia reply nice day
0,fell stair dancing sword fell bum hurt
2,walaikum assalam alhamdulillah im chicago wend 29th nice meat duas
0,oh sorry hear abt firefox crashing
2,got home school fun oh btw music school
2,p rainging
2,look feedback seriously crazier topic better
2,finally getting sleepy right sky brightens figure gnimorning
0,wish outside thats thing thats gon na kill work day everyday summer
0,underpaid didnt need
2,rotting away desk wouldve thanks yl day youre best support
0,tom today school played pov break cryed sao paulo today wish
2,fun water park dinner rainforest cafe free party tonight pretty good saturday think
0,ouch im sorry
2,watching knowing lovin
2,thank follower
0,ugh going town rest want tyler know exausted
0,twitter c r c k
0,okay im trying happy deal problem friend hard
2,_dude nice good night
0,sound foreboding
2,man u know thing interesting lolllim 2 good
0,4th officially announced bad luck day
2,know love mom stay late wrap gift look glorious handmake card happy mother day
0,room smh
0,hahaha smack hahaha big banggg
2,hope better know best medical attention let know right
0,_flores aww dont guess thats doesnt blackberrymessenger
2,wrestlefest fun tune 23 sunday chat
2,woo hoo friday wait work cleaner tomorrow
0,hate fact im 45 hour away tonight tomorrow 1946 mile apart wish
2,love ride superman right
0,truck bit dust dont know ill mustang game tomorrow
2,tired work till 1030 tonight happy mother day
2,wish lived closer girl im tryna chill friday night weekeeend drink day night
2,_trainr thanks link smile
0,hate hair hiss tee feel like shuld hang ghetto wid dis style
2,sipping oj sun san pedro la soberana sunny smiley nita garlic tomato paste delicious yummy
2,guess bedtime goodnight twitter bed big
2,im going town dinner roll dark chocolate yummmm
0,greg pritchard robbed place final bgt baby face got instead
0,_x little taylor feel sorry way spell
2,driving afford laptop living roommate save
0,lost mx way
2,going body pump yoga going enjoy lovely bbq family loving day holiday
0,feel ucky today need defense vitamin water dont want sick more
2,bought awesome shooeessss
0,took terminator trilogy d need actually tv series tempting
0,bored tease people
2,aw come ur early love ur youtube vids btw
0,help know store carry blackberry trackball went verizon retailer luck want order
2,ordered thank
2,sweet
2,cool aww
0,sooo tired cubicle
0,sad tea oatmeal cold
2,jordan baby talking wish coulda met ugh
0,nooooothing tonight
0,babysitting kid wont let play wii
2,desperate need tweet cheer
2,think tania cute nice love 3
2,love story loop past 30 minute love song make happy like
0,english broken
2,good cup cake
2,glad hear ok rename friend
2,ohhhh excellent songhello friend
2,60000 spent going college spent im going meet man tomorrow toysrus parking lot cleaning job
2,thrilling time da joyride roadtrip nice driving pai paulo
0,batman arkham asylum dont play sadness
2,thank
2,dougie coffee there coffee hahaha come predicted text pretty awesome
0,ughhh seriously hung
0,littelist fish udon dearly departed
2,_shields06 good job wish worked zoo
0,roasting probably death
2,oh great
2,awesome im looking sourcing
0,know u didnt tell busy cakin pay attention
2,link wont open try better connection tomorrow im curious
2,oh oh oh offering send duck love love love confit duck
2,beautiful daytakn twitter tell mother happy mother day
0,wished didnt spend money night
0,yo wake work paper u aint sick dont lie
2,beautiful morning
2,90210 9pm laaaaaaaaave
0,noooi forgot calculator physic oh class allmost 3
0,shower head broke shower shot straight headmay welt later
0,arrghh stupid eczema soon sort
2,love
0,tgif hubby dragged buy car part tired n cranky
2,today real mother day son actually wasnt born year wait hug home
2,happy mother day
2,wonder effective street preacher
0,wondering seen cell phone
0,psh im cool openhouses
0,dont believe eye browser omg omg omg
2,listened song myspace good
0,morning trying babysitter creche gym leave know wont happy
0,work youre diesel rice burner
2,oh good gooseberry night katy isnt coming
2,good luck wan na waited outside bus autograph tho
0,plopped twice twice
2,talking babe he amazing
0,_vincent missed party bought wine
0,awe miss baby
0,im soo sad edge page gon na come cry
2,im work hoping enjoy day finger crossed
0,tgif dont feel good
0,honza take flight czech republic morning im going miss
0,know suck
2,_w wowthanks soo hope
0,whats wrong babe x
0,need sudden urge missing diplomat title
2,_perez thats great hope ill study bff live wellwe
0,effing tired
2,hey laurenim huge fan hope having fun wango tango
0,want blackberry afford watching telly relaxing hard sesion tomorrow
2,thank thank thought cool kid hang hehe xoxo
2,good afternoon jonas brother x
2,wish work like dude
2,welcome chica hope nice break
2,goood moring
0,hate busany donation car fund
0,bad rum experience college havent recovered
0,need new running shoe foot completely torn
0,good
2,wishing mama organic happy mother day
2,hey thanks following love elijah thats im going son
2,hahhahah im watching greatest movie
2,great camp wish
0,miss tooooo arent far
0,watching dr phils special marriage sad ignorant people
2,happy mother day mommy
0,massive headache argh
2,way saw u ellen yesterday late comparing usa u awesome
0,musicmonday agree excuse tweet music hour end
0,poor nicole absolutely destroyed cell phone
2,sure tell mom love thank putting
2,happy mother day mum old new
2,oh yeah thats right thanks reminding
0,shouldve known wrong van having problem oh tell cost arm leg
2,mom happy present yayy
2,_star v good thought registered na
2,brent cross wow live close
0,working home ran coffee
2,gregshowing friend audioboo 2 love ta headzup bro need 2 iphone roll june
0,charter pissing rest internet access blog fixed soon
2,_c thank ffs friend
2,great meetinglunch patio sunshinenothing perfect busy daytime bed ahhhhh
0,wishing
2,hat slightly unexpected successful end grouling day night
2,whuahahhaha need cut bram ladagesapplejackspancakes
0,17 thing thing mind cleaning everyones cake mess
0,feeling lonely
2,wish going coming nicoles preprom wait preprom
0,stick work till freakin 2 madd suck worked day
0,missing best friend commme kayla going little
0,think keyed car big scratch hood
0,ii dont
0,tweeting tarmac cork airport delayed
0,illegal date
0,official im having worst day called mile away
0,scratched ipod
0,omgeee hurt like helll finally got close ball
2,tell zach jer said happy birthday like cool brother youre lucky haha
2,fun
0,goddamn bloody stress sending body haywire
0,miss daddy
0,school
0,gon na sleepless night tonight
0,_cm didnt drink hangover tired worked
2,wan na happy mother day mom including love u mama
0,miss laughing till stomache hurt
2,aww bless hope phone okayy x x
0,spoke keith urbans record company till holiday sorry jack trying mate
0,sicken number way able tweet
2,hi beautiful hows going
0,yeah yesterday house want sold bank effed car accident
2,visteon belfast 2 year salary paid show happens stand
0,ughjust starting 2 hour wheel driver ed
0,hurt trying
0,chick wont shut stop chirping sit bloody thing
2,fun day theatre glad town
2,interesting day good overall
0,want
2,happy star war day 4th lil 12yr old bro home playing lego atat dozen stormtroopers
2,good morning hows u
0,wish didnt close
2,thanks link ive voted ill send
2,wish happy mother day
0,bum hurt
2,good night time mimmiz
0,flight hurghada delayed 7 hour
2,brother 2 week
2,excited blazin squad revival im rooting em new song
2,gardening lot fresh air love sunday
2,listening echo gorilla zoe ahh love song
0,hot
0,saw dark burgundy scion xb dark shade make look like minivan shawdows line curve lost
2,wow youve tweeting night look like totally day
2,u miss hope sending big hug
0,ughhi dont feel good
2,awesome thats wan na roll mogul status
0,yeah didnt realize bad till
0,aww yeah feel know hard
0,want watch movie want watch
0,going miss
0,tired need 30 minute
2,finished minish cap great game ill miss ezlo link
0,unfortunatley tooth kind crown
0,yep suck thought said
2,saturday partytiiime
0,listening
2,recovering mexican fiesta bit good time
2,good morning little twitternut squash today whats weather like
2,um happy star war day btw cheer scruffy looking nerfherders hot amis
2,yay fullterm
2,woke sleep txt bff sayin youre sound important 4 hour ago
2,awesome cheer man dont know ill money left today shopping spree
0,feel like day wont able win
2,welcome new friend kari warm follow set twitter account tonight
2,sister hahah bless hope
2,pshh thanks
0,dammmi thought lollllll
0,annoying make girl follow sport knowledgable look dumb
2,yes final party better good mpre stuff got
0,laptop going die working
2,good morning swedish friend love meat ball haha
0,want dressed im mentor
2,happy mother day u mother happy mother day mother miss mom
0,aiaahh poor u tell ur mom
0,roscoe smooth sailin tell song rap friend u failed
0,im home recovering major liver surgery alot pain
0,dont care struggle
2,yeah m happy moved partying m happy
0,work little time
2,happy mother day mom load day
0,home dont think ill wake 5 p set alarm 6 kid room forgot turn feel bad
0,silly boyfriend forgets phone charger 4 day long trip kilkenny talk gig went poo
2,thanks mate came board twitter tweet sound great
2,oh monday mean new american dad glad watched funny make monday better
0,getting bored walking stair
2,eating toast peanut butteryum
2,barely awake eating breakfast marathon morning good luck racer happy mother day
2,thinking im super excited week
2,orangepineapplebanana smoothie long hard day heaven
0,im pretty boredtried mom going home hour fixing leave aww shes going texas month
2,facepanda cool
0,im running thing im starting think youll hate flooding inbox philippine tour
0,allegra flonase steroid inhaler rest allergy season throat hurt asthma
0,start favourite chore mopping floor
0,twitter hate photo page
2,awesome milkshake areo mint blended like lumpy smoothie chattering
0,freebie jbnoy friend spam thread soon
2,night night twitter love phone sleep
0,feel like cry bit realy dont want bothering sooooooo
2,happy 11th im going sleep lolz
2,thanks message worked reply
2,happy birthday let know old boy
0,lucky beggin jury duty yearsthey dont send notice notice people address
2,hey yay thanks wow ur page awesome
2,imintheroom imwatchingthehannahmoviewithmomshesaidthisfilmverygreat
2,patience worth
0,producing 6 anchoring sad goodbye miss lynne ashminov miss
2,sound good taylor kellie tour pure genious
2,thanks following date possible makeup line plus new collection
2,good morning world wonderfull day starting breakfst champion kid ofcourse
0,tummy hurt
0,big vanessa going 3 september going fast hard cuz im workin miss alot
0,chemistry fun
2,omg im block quilt hour work left wait meet goal
0,class tomorrow tomorrow saturday hate having class saturday
0,hate having hair long think want super looong hair
2,zenrelated stuff flow easy accomplish started rain rain flush away
0,hate seafood happened serve lobster chow hall noooowww got ta headache ugh smh
2,nigel enjoyed he got big scratch inexplicably appeared
0,kid sick thoi like crazy stalker
2,enjoying night folk
0,nooooo going rain birthday
0,feeling dizzy soo good
2,happy friday dance rain im outta heretill 2morrow sat saturday morning shift good
2,good morning want breakfast
2,loved sun today love black suit black plus 6 trainstubes meeting need shop summer
2,sure u pick chrisette micheles new album epiphany store tomorrow 5th love promise congrats
0,homework sux big time math worst
2,cool help happen sure happens houston thatd great k thanks
2,pretty lady happy mother day shes mother future soninlaws
2,praying better soon sweet sorry
2,love pb banana sandwich fav
2,saw fiddler topol girl looooved month annie 7th row wait trip 2 music store fiddler sheet music
2,standing ovation wieters sitting insane hit double play
2,averaged 31 hour work today got ta love holiday
2,congratss
0,looking good outside continues feel movie night coming
2,know joke good fun people humor dont
0,im thinking tonight plan gon na happen sighsadface shouldnt surprised
2,loving life lately looking forward going samantha hanging natalie right
2,chilling outnow boy gone time relax
0,oh okthanksdont know courthouse id eitherill learn thoughany nkotb twitter stole pic hate
2,wish wrap head hopefully itll wake people saythink racism doesnt exist anymore
0,bummer yo im starting final soonso guess ill second week june
2,fantastic show row
2,mooorning friday thats terrific smile d
0,work supposed day work plm world sigh
0,miss cat sunday morning
2,shouldnt stayed til 2 reading rule good book totally worth sleep deprivation
2,oh riveting tv trip break room coffee toothpick eye open
2,finally got teaching load confusion cleared teach 3 year section catch
2,love finding regional group twitterer glad connect new people
0,im having luck nut hoping
0,woke aspirating stomach acid im praying dont acid reflux time thing
0,kill
0,warren hannah dead oh godd seriousslyyy tragidy
2,man sweep worry
2,_tastic awww sweet
2,shower taken room right bed yeasterday shower balcony sea wiew bit nicer
0,ive burned like ginger kid sun arm red
0,soooo ppl telling went tonite ive dream meeting im embarrassd lil lol
0,sadly sitting home going partyyyyy
0,link didnt work
0,99 sober brittneys becky brit 3
0,absolutely boiling got factor 50 turn orange look like oompa lumpa left shoulder burnt yesterday
0,hiii ive missed boredwhat u
0,nite im n bored opposed sleep frm b 4
0,_x ah thats annoying
2,reunited feel good
2,watched kunguma poovum konjuma puravum liked excellent cinematography
2,star trek great minor detail needed worked thumb regardless
0,shouldve gone right wish alter time
0,sadly bit disappointed try later change mind
0,new blog post blog auto insuran auto insurance policy expired careless meanw
0,tummy hurt away cramp hate chuu
0,wish offer hug right bad
2,ayy okayyy nice seeing kanina like hair
2,ohh kayy fasho u tonight fun
0,playing 7 club impact tomorrow finally got shirt woopity doo want slurpeeee sooo bad right
2,botanical garden beautiful forgot extra memory card picture today
2,yeah better ad make look content blatant advert
2,went piggy bank man hell lot money easily live 2 week
2,singapore warm having blast
2,hope feel better soon little magic girl
2,wingman great weekend
2,round round garden amazing thing he talking
2,man looking packing book looking past life feeling kind sentimental
0,yeah gon na rubbish
0,suck majorly im swampedso twitteri dont knowbut golf tournament
2,nice wish twitter tile
0,song come goodbye stuck head good song singing considering situation
2,yay saved weve overcome god
2,np mate great meeting prague
2,watching run fat boy runhaha soo funny
2,need lele answer meeee haha
2,implementing will_paginate website love rail
2,mmmmmm late night brusters ice cream om nom nom nom
2,rofl love trina
2,congratulation shirt btw
0,suck thundering im getting ready shut
2,saw xmen origin sat far best xmen movie amazing
2,gott home work relaxing
2,baby help math
2,happy momies day
2,nice recolouring page buying antitwittering word love
0,phone whatchu tonight sucka dane cook sold ticket lamee
0,got sharpied face falling asleep sick suck
0,allergic youoh
0,bored
2,haha love surprise dont work til sunday tho wait
0,soooo im starting feel sick
0,im stuck traffic jam somewhat starting situation day thats sad
2,happy bank holiday british peep
0,think shes getting sick
2,wish happy fabulous mother day
0,noooo ill miss went stag prom high school middle school dance help _
2,loving half day wasnt raining soccer practice tonightt
2,knowi yes wait bb love heard theyre showing 24 hr live streaming year
0,flipping hairlossgotta doc
2,great night
2,oh god bless
0,checkin oramarecordscom got fever cnt sleep
2,finally eating unagi ive saving udon agh realized band playing bear garden today like
0,dont feel good
0,noooooooooo parrents stash
2,hehe thanks advice choose shoe hard
0,pool fun tim
2,schoool time week 20 day school time nyc wait day school
2,cut slice cheese cake make better
0,today slower time dragging
0,hey sorry late leave 30 min rainchecktomorrow
2,heading home long week wish onther marketer follow
2,psst new blog comment likey
0,u feeling urself u hi likey u
2,wow ive joined photography scene pretty recently large format make interesting
0,sad shin ae got marriedand wasnt alex
2,ha fun think iï½ll rewatch part season 5 todayin preparation 2morrow night
0,mom ok far missing jaron
2,bless sneezing cat
0,yeah think touched mike germ sore throat dammit knew gone
2,goodmorning
0,brother irritating bc take wear clothes asking want punch violently
0,arthritis poor painful old squat u
2,_luciano jailbreak went great tremendous apps ready 30 winterboard
2,right second gig sippinn guess whut water sta focused job
2,good end busy day im bed belly sushi
2,acting school yayay
2,happy mother day later wait _day26 concert lol ima day 26 like d
0,want 6th miss girlies roomy
2,love tooooo duuudei need shirt say cool
0,broke vase didnt chance use
0,went unity girl bebo fail bebo stalking
0,better omg dont believe didntgot picture soo sad dont im gon na u
0,omgthat soooo sad
2,good luck c funn
0,got attacked club
2,hahalive long prosper movie better thought awesome job im pleased
0,feel like im going cough lung
2,like james bond series thats spy movie
2,nice
0,alright joking said wine fool maybe dont like drinking
0,50 page assignment weekend go chance relaxation
0,new issue officedesperately want flick itll wait
2,cup cake sooo yummy 2 coffee chaser u know lead
2,good morning fabulous morning
0,sympathise
2,thanks ff today
2,know love 5 lie editor believe writer justsayin
2,haha love aimeeeeeee
2,arent u famous lol adoring fan fan hehehe im no1 fan
0,parent decided drop tourdeus family house work
0,class loader custom assembly loader
0,im work starving
0,omg little kid cancer saddest thing
2,weather report week upper 60 happy perfect running weather
2,vacation looking forward
2,assignment midnight professional writing class wish luv writing thought id like
2,soon going look cabaret going fun
2,wishing blessed beautiful mother day
0,broke christian bale played batman
0,steam punlk fashion anime north year torcon arent til missed
2,thanks im fabric addict lately ive bought soooo
2,dang want beach late night thats best sound wave breezehope
0,good mood mama away si talk boy weekend planned
2,thanks review today feel like idk anyways r u
2,ha thats good thats love boy co stir hatred mighty red scum love city
2,shecky95 happy mom day u come
0,omg tony hawk motion nintendo d suck
2,meant ask night enjoy fightdid yas allnighter
0,feel weird
0,stop coughing
2,happy mother day ahahahahahaha
0,sorry dunners saw tweet totally let im sorry babe work till 830 boooooo
0,doesnt feel good miss work tomorrow
0,felt nice staying outside long definitely getting burned hurricane season
2,happy star war day 4th
0,headache killing need cover boring police event
2,sweet im trying earn crown gluten free baking
0,ugh happened today need hug
0,miss puppy
0,sorry ali
2,went car inspection sticker got gigantic red r piling dont worry ill ok
0,y hurt chew gum ive lost weight eat
0,true worse burn today dont forget sunscreen
2,happy mother day ur mom jah tc
2,hi nice meet
2,ok got nail day sweet
2,moral support student
0,teeth checked eye im dying coffee drink hour
0,miss dont
2,great song
2,funny sitting external keyboard mouse macbook bed look strange comfortable
0,im home house imma scared x
0,hey kelliehow ui feel horrible
2,congratulation phil packer completing london marathon x shining example x
2,happy mother day
2,going ride perfect night chill
2,yeah good startled
2,minute shopping demi lovatoback demi lovatobehind enemy line seen titanic 2 trailer good
0,sooo u gon cheat tell everybody twitter dont know trust anymore jk
0,missing brandon wanting talk anthony sadshoes
2,great day
0,oh matey ill bit mean suzi calling chicken scab youre
0,exhausted 58 hour work week
2,omg amazing twist crazy awesome movie
2,looking forward yummy dinner mizz kate jones evening
0,beer excellent excuse earlier sweating god know looking forward working tomorrow
0,aha yeah fails push yeah dont know time leaving
2,mmm comfort junk food sound good preferred wingstop
2,dont believe puppy like brussels sprout
2,got ticket concert philippine im excited
0,think prize end sorry hear
2,day 12 hour work id like job fabulous b
2,4 filling good appointment
2,yo mom day today big mom duke behave
0,fair asking mktg cd suggested emailed
2,poor kitty there hopefully youll able good home
2,true admit pretty funny im bout tube lol
2,oh yes nice photoshop liep zojuist vast start painting rï½isï½ngs glove
2,_lottie favourite pastime weekend long weekend monday im ice w gdaughter
0,miss baby
0,hour ago sleeping sorry
0,sleeping soo good woke like 10 min ago n got sick feeling great wan na sleep im wide awake
2,waiting beer moldovan he happy came
0,yep ah dont wan na leave warm doona hot beveragei guess ill wo
0,good start day left money home ill hot day looking free carparks
2,great wonderful day
2,friend meet today wait turn
0,access restuarant city internet javascript problem
2,finally got twitter let hope good use site
2,hahaha didnt notice louse
0,woke day need work suck dentist filling 12 st helen mri scan 2
2,episode 17 season 1 love chuck bass who going short stack filming sat im making flag d
2,awww lovies yes love im totally finishing buffalo sammich hit new bongie 3
2,hey girl yeah didthanks bunch havent started downloading yeti totally owe
2,happy mother day mommy love best
0,plead temporary insanity agreeing metric century cycling event tomorrow
2,watching ryann gon na grand day
0,missin bro
2,w00t glad hear missing watching outside igloo day
0,make sad
2,thanks kelly mean lot figured apt thing
0,mouth hurt stupid retainer
0,im sorry bad driving experience
0,research specific thing wan na drive autorun
2,welcome new cybercriminaloverlords
0,gutted man utd lost
0,alicias tonight idkkkk ughhh
2,happy mother day beautiful mom im kind mom think little pup count
2,thank hope great rest day afternoon coffee
2,yay happy mother day fb
2,plenty joke lying bed hoping going free im jury service tomorrow
2,nappy da new n wordby da way ilove nappy braid igot hangtime homie lol
2,thank im glad like
0,weird want harry potter bed spread pillow wish wasnt gryffindor
2,youre getting closer normal bedtime enjoy trip updated sweet dream
0,_longman yes didnt follow
0,holy kraut stay late book author box tucking kittyboys nightynight
0,ok thats true plus youre insulting saying im insulting ive trying cheer butï½nadaï½
2,hey web url look good
2,im hoping pill cuz im gon na nut
0,mobile doesnt like
0,pissed
2,fun wish mum happy mother day
0,havent awhile point anyways
0,got home hospital clot leg
2,dying hangout friday afternoon
2,hi nice meet new twitter guess
2,may1st success lucas police contact neighborhood cruising egg cream bumf shaving foam love son he hero
0,ouch burned making soup nico
0,im hungry eat right tongue hurt bad
0,playing munchkin today talking cake getting ready yard sale tomorrow looking forward
2,rip leonardo great mini fiddler crab
0,im bad understanding thing know
0,think annoying getting twitter error message mobile
2,best sunday
0,im tired
0,free ice cream
0,im tired gloomy happeened ro summer
2,let hope pray wiser way let hope pray wiser way
2,ive given 1999 question thought u right host provides hd quality viewer maybe
2,lol cute btw happy mother day lady
0,great
0,damnit sorry hear dude
2,ha ha thank
2,hospital doc say ill live
2,wish garden bbq tonight set lounge bbq type thing thatll work fridayfirehazzard
0,officially miss quark huhuhu heart hand partner dance tonight come home
2,_uk argh twitter didnt post reply tweet age aint enjoying sun
2,god bless u hope rest weekend joyfull
2,quaterfinals charity football tournament penalty save sent
2,btw ear getting better time finally goodnight twitter world yall asleep xoxo
2,playing having fun little kid right hahahahaha
2,youre welcome
2,im fine bit tired im glad weekend
2,having looked bruvs exam timetable french oral exam feel fortunate erm digest morning revision
2,amtarot thank
0,thats mess ill look week
2,love gossip girl episode 23 wrath
0,believe man died car wreck today right road happened 12 2 car
0,imissu come home honey
0,sad samantha
0,omg pain ouchies
0,pick daughter appear picking unhealthy liking primarkfeel like bad parent
0,2 hour teleconference sleep got work sigh sigh
0,actually im supposed w dad cousin cousin trouble
2,thanks finding amusing rubiks picture tonight making evening
0,omg today felt like day school horrible
0,sickening shoot smh prayer family
0,yeah great noise tripped house circuit breaker good time 200 worth part
2,yeah work 330 bad
